,maker,car_name,prices,base_price,trim,color,year,milage,permit_validity,repair_history,guarantee,engine_size,city,prefecture
1344,スズキ,ハスラー 660 ハイブリッド G 届出済未使用車 シートヒーター 衝突軽減,139.9,130.9,クロカン・ＳＵＶ,濃紺Ｍ,2023,6km,2026(R08)年11月,なし,保証付,660CC,土岐市,岐阜県
1345,スズキ,スペーシア 660 ハイブリッド X セーフティサポート 禁煙車 純正ナビ,127.9,117.2,ハッチバック,真珠黒,2019,2.3万km,車検整備付,なし,保証付,660CC,米子市,鳥取県
1346,日産,デイズ 660 ハイウェイスターX プロパイロット エディション 衝突被害軽減装置・電動格納ミラー,139.8,131.8,ハッチバック,黒,2023,6km,2026(R08)年01月,なし,保証付,660CC,奈良市,奈良県
1347,スズキ,ハスラー 660 ハイブリッド G アダプティブクルーズコントロール 車線逸脱抑制機能非装着車 届出済未使用車　セーフティサポート,129.9,120.9,クロカン・ＳＵＶ,緑,2023,11km,2026(R08)年08月,なし,保証付,660CC,丸亀市,香川県
1348,ダイハツ,ムーヴキャンバス 660 ストライプス X 届出済み未使用車　衝突被害軽減ブレーキ,134.9,124.9,ハッチバック,白黄,2022,20km,2025(R07)年10月,なし,保証無,660CC,糟屋郡,福岡県
1349,ホンダ,N-BOX 660 L 当社デモカー　ギャザスメモリーナビ　ホン,144.3,136.8,ハッチバック,灰,2023,0.4万km,2026(R08)年02月,なし,保証付,660CC,大和郡山市,大阪府
1350,スズキ,ハスラー 660 ハイブリッド G アダプティブクルーズコントロール 車線逸脱抑制機能非装着車 届出済未使用車　セーフティサポート,129.9,120.9,クロカン・ＳＵＶ,緑,2023,11km,2026(R08)年08月,なし,保証付,660CC,丸亀市,香川県
1351,ダイハツ,ムーヴキャンバス 660 ストライプス X 届出済み未使用車　衝突被害軽減ブレーキ,134.9,124.9,ハッチバック,白黄,2022,20km,2025(R07)年10月,なし,保証無,660CC,糟屋郡,福岡県
1352,ホンダ,N-BOX 660 L 当社デモカー　ギャザスメモリーナビ　ホン,144.3,136.8,ハッチバック,灰,2023,0.4万km,2026(R08)年02月,なし,保証付,660CC,大和郡山市,大阪府
1353,ダイハツ,タント 660 カスタム RS トップエディション VS SAIII 禁煙車 8型ナビ全周囲カメラ  両側電動ドア,109.9,102.5,ハッチバック,青,2019,4.7万km,2024(R06)年02月,なし,保証付,660CC,岐阜市,岐阜県
1354,ダイハツ,タフト 660 X スマートアシスト　サイドエアバッグ　カー,122.3,115.8,クロカン・ＳＵＶ,薄茶,2022,759km,2025(R07)年08月,なし,保証付,660CC,那須塩原市,栃木県
